cycle,input_fire,sample_index,channel_id,sample_u16,fault_active,input_ready,mode,q_shift,current_mad,cfg_t_low,cfg_t_high,quantized,dptc_delta,bit_width,is_absolute,packer_byte_valid,packer_byte,m_axis_tvalid,m_axis_byte,m_axis_tlast,fifo_level,fifo_full,overflow
123,1,117,2,4992,0,1,1,2,2,60,450,1247,0,1,0,0,0,0,223,0,0,0,0
124,1,118,2,4993,0,1,1,2,2,60,450,1247,0,1,0,0,0,0,223,0,0,0,0
125,1,119,2,4993,0,1,1,2,2,60,450,1248,0,1,0,0,0,0,223,0,0,0,0
126,1,120,2,4994,0,1,1,2,2,60,450,1248,1,3,0,0,0,0,223,0,0,0,0
127,1,121,2,4995,0,1,1,2,3,60,450,1248,0,1,0,1,65,0,223,0,0,0,0
128,1,122,2,4996,0,1,1,2,3,60,450,1248,0,1,0,0,0,0,223,0,0,0,0
129,1,123,2,4997,0,1,1,2,3,60,450,1248,0,1,0,0,0,0,223,0,0,0,0
130,1,124,2,4998,0,1,1,2,3,60,450,1249,0,1,0,0,0,0,223,0,0,0,0
131,1,125,2,4999,0,1,1,2,3,60,450,1249,1,3,0,0,0,0,223,0,0,0,0
132,1,126,2,5000,0,1,1,2,3,60,450,1249,0,1,0,1,32,0,223,0,0,0,0
133,1,127,2,5001,0,1,1,2,3,60,450,1249,0,1,0,0,0,0,223,0,0,0,0
134,1,128,2,8496,1,1,1,2,3,0,65535,1250,0,1,0,0,0,0,223,0,0,0,0
135,1,129,2,8495,1,1,0,0,219,0,65535,1250,1,3,0,0,0,0,223,0,0,0,0
136,1,130,2,8494,1,1,0,0,601,0,65535,8496,0,1,0,0,0,0,223,0,0,0,0
137,1,131,2,8493,1,1,0,0,929,0,65535,8495,7246,15,0,1,8,0,223,0,0,0,0
138,1,132,2,8492,1,1,0,0,1202,0,65535,8494,-1,2,0,1,78,0,223,0,0,0,0
139,1,133,2,8491,1,1,0,0,1421,0,65535,8493,-1,2,0,1,156,0,223,0,0,0,0
140,1,134,2,8490,1,1,0,0,1584,0,65535,8492,-1,2,0,0,0,0,223,0,1,0,0
141,1,135,2,8489,1,1,0,0,1693,0,65535,8491,-1,2,0,0,0,1,8,0,1,0,0
142,1,136,2,8488,1,1,0,0,1748,0,65535,8490,-1,2,0,0,0,1,16,0,1,0,0
